Parameter,Value
zipcode,92120
VINADD,KNAGU4LC4G5000111
email,kma1Phase3@gmail.com
emailPassword,fuzzy550
Answer1,tommy
Answer2,delhi
Answer3,delhi
city,Los Angeles
emailBlockedAccount,Kh111517ss@gmail.com
OtherNickName,NickName1
Nickname,My OPTIMA HYBRID
AwardsVIN1,KNAGT4LC0G5000108
webID,KMA40660
webPassword,Password1!
maintenanceLocation,Irvine
maintenanceMileage,7500
maintenanceNote,testing
maintenanceZip,92606
changedDealerName,Car Pros Kia Huntington Beach
reportsEmailList, megha.sharma@rsystems.com 
webdcsURL,https://webdcs.kdealer.net/iLogin.aspx
